year,month,circle,type_of_connection,service_provider,value,date
2009,January,All India,wireless,Aircel,16761397,1/1/2009
2009,February,All India,wireless,Aircel,17099390,2/1/2009
2009,March,All India,wireless,Aircel,18478325,3/1/2009
2009,April,All India,wireless,Aircel,19585299,4/1/2009
2009,May,All India,wireless,Aircel,20685711,5/1/2009
2009,June,All India,wireless,Aircel,21798731,6/1/2009
2009,July,All India,wireless,Aircel,23101900,7/1/2009
2009,August,All India,wireless,Aircel,24415514,8/1/2009
2009,September,All India,wireless,Aircel,25728633,9/1/2009
2009,October,All India,wireless,Aircel,27746797,10/1/2009
2009,November,All India,wireless,Aircel,29354370,11/1/2009
2009,December,All India,wireless,Aircel,31023997,12/1/2009
2010,January,All India,wireless,Aircel,33035907,1/1/2010
2013,January,All India,wireless,Aircel,61571291,1/1/2013
2013,February,All India,wireless,Aircel,60872785,2/1/2013
2013,March,All India,wireless,Aircel,60071967,3/1/2013
2013,April,All India,wireless,Aircel,60080216,4/1/2013
2013,May,All India,wireless,Aircel,60358016,5/1/2013
2013,June,All India,wireless,Aircel,60969974,6/1/2013
2013,July,All India,wireless,Aircel,61725497,7/1/2013
2013,August,All India,wireless,Aircel,62602380,8/1/2013
2013,September,All India,wireless,Aircel,63245179,9/1/2013
2013,October,All India,wireless,Aircel,63742291,10/1/2013
2013,November,All India,wireless,Aircel,65283113,11/1/2013
2013,December,All India,wireless,Aircel,66911830,12/1/2013
2014,January,All India,wireless,Aircel,68444071,1/1/2014
2014,February,All India,wireless,Aircel,69147005,2/1/2014
2014,March,All India,wireless,Aircel,70151708,3/1/2014
2014,April,All India,wireless,Aircel,71150121,4/1/2014
2014,May,All India,wireless,Aircel,72092331,5/1/2014
2014,June,All India,wireless,Aircel,73071532,6/1/2014
2014,July,All India,wireless,Aircel,73989247,7/1/2014
2014,August,All India,wireless,Aircel,74894546,8/1/2014
2014,September,All India,wireless,Aircel,75850649,9/1/2014
2014,October,All India,wireless,Aircel,76804652,10/1/2014
2014,November,All India,wireless,Aircel,77757678,11/1/2014
2014,December,All India,wireless,Aircel,78673545,12/1/2014
2015,January,All India,wireless,Aircel,79615899,1/1/2015
2015,February,All India,wireless,Aircel,80531634,2/1/2015
2015,March,All India,wireless,Aircel,81395713,3/1/2015
2015,April,All India,wireless,Aircel,82015141,4/1/2015
